Date,Value
13/05/2015,18060.49
12/05/2015,18068.23
11/05/2015,18105.17
08/05/2015,18191.11
07/05/2015,17924.06
06/05/2015,17841.98
05/05/2015,17928.2
04/05/2015,18070.4
01/05/2015,18024.06
30/04/2015,17840.52
29/04/2015,18035.53
28/04/2015,18110.14
27/04/2015,18037.97
24/04/2015,18080.14
23/04/2015,18058.69
22/04/2015,18038.27
21/04/2015,17949.59
20/04/2015,18034.93
17/04/2015,17826.3
16/04/2015,18105.77
15/04/2015,18112.61
14/04/2015,18036.7
13/04/2015,17977.04
10/04/2015,18057.65
09/04/2015,17958.73
08/04/2015,17902.51
07/04/2015,17875.42
06/04/2015,17880.85
02/04/2015,17763.24
01/04/2015,17698.18
31/03/2015,17776.12
30/03/2015,17976.31
27/03/2015,17712.66
26/03/2015,17678.23
25/03/2015,17718.54
24/03/2015,18011.14
23/03/2015,18116.04
20/03/2015,18127.65
19/03/2015,17959.03
18/03/2015,18076.19
17/03/2015,17849.08
16/03/2015,17977.42
13/03/2015,17749.31
12/03/2015,17895.22
11/03/2015,17635.39
10/03/2015,17662.94
09/03/2015,17995.72
06/03/2015,17856.78
05/03/2015,18135.72
04/03/2015,18096.9
03/03/2015,18203.37
02/03/2015,18288.63
27/02/2015,18132.7
26/02/2015,18214.42
25/02/2015,18224.57
24/02/2015,18209.19
23/02/2015,18116.84
20/02/2015,18140.44
19/02/2015,17985.77
18/02/2015,18029.85
17/02/2015,18047.58
13/02/2015,18019.35
12/02/2015,17972.38
11/02/2015,17862.14
10/02/2015,17868.76
09/02/2015,17729.21
06/02/2015,17824.29
05/02/2015,17884.88
04/02/2015,17673.02
03/02/2015,17666.4
02/02/2015,17361.04
30/01/2015,17164.95
29/01/2015,17416.85
28/01/2015,17191.37
27/01/2015,17387.21
26/01/2015,17678.7
23/01/2015,17672.6
22/01/2015,17813.98
21/01/2015,17554.28
20/01/2015,17515.23
16/01/2015,17511.57
15/01/2015,17320.71
14/01/2015,17427.09
13/01/2015,17613.68
12/01/2015,17640.84
09/01/2015,17737.37
08/01/2015,17907.87
07/01/2015,17584.52
06/01/2015,17371.64
05/01/2015,17501.65
02/01/2015,17832.99
31/12/2014,17823.07
30/12/2014,17983.07
29/12/2014,18038.23
26/12/2014,18053.71
24/12/2014,18030.21
23/12/2014,18024.17
22/12/2014,17959.44
19/12/2014,17804.8
18/12/2014,17778.15
17/12/2014,17356.87
16/12/2014,17068.87
15/12/2014,17180.84
12/12/2014,17280.83
11/12/2014,17596.34
10/12/2014,17533.15
09/12/2014,17801.2
08/12/2014,17852.48
05/12/2014,17958.79
04/12/2014,17900.1
03/12/2014,17912.62
02/12/2014,17879.55
01/12/2014,17776.8
28/11/2014,17828.24
26/11/2014,17827.75
25/11/2014,17814.94
24/11/2014,17817.9
21/11/2014,17810.06
20/11/2014,17719
19/11/2014,17685.73
18/11/2014,17687.82
17/11/2014,17647.75
14/11/2014,17634.74
13/11/2014,17652.79
12/11/2014,17612.2
11/11/2014,17614.9
10/11/2014,17613.74
07/11/2014,17573.93
06/11/2014,17554.47
05/11/2014,17484.53
04/11/2014,17383.84
03/11/2014,17366.24
31/10/2014,17390.52
30/10/2014,17195.42
29/10/2014,16974.31
28/10/2014,17005.75
27/10/2014,16817.94
24/10/2014,16805.41
23/10/2014,16677.9
22/10/2014,16461.32
21/10/2014,16614.81
20/10/2014,16399.67
17/10/2014,16380.41
16/10/2014,16117.24
15/10/2014,16141.74
14/10/2014,16315.19
13/10/2014,16321.07
10/10/2014,16544.1
09/10/2014,16659.25
08/10/2014,16994.22
07/10/2014,16719.39
06/10/2014,16991.91
03/10/2014,17009.69
02/10/2014,16801.05
01/10/2014,16804.71
30/09/2014,17042.9
29/09/2014,17071.22
26/09/2014,17113.15
25/09/2014,16945.8
24/09/2014,17210.06
23/09/2014,17055.87
22/09/2014,17172.68
19/09/2014,17279.74
18/09/2014,17265.99
17/09/2014,17156.85
16/09/2014,17131.97
15/09/2014,17031.14
12/09/2014,16987.51
11/09/2014,17049
10/09/2014,17068.71
09/09/2014,17013.87
08/09/2014,17111.42
05/09/2014,17137.36
04/09/2014,17069.58
03/09/2014,17078.28
02/09/2014,17067.56
29/08/2014,17098.45
28/08/2014,17079.57
27/08/2014,17122.01
26/08/2014,17106.7
25/08/2014,17076.87
22/08/2014,17001.22
21/08/2014,17039.49
20/08/2014,16979.13
19/08/2014,16919.59
18/08/2014,16838.74
15/08/2014,16662.91
14/08/2014,16713.58
13/08/2014,16651.8
12/08/2014,16560.54
11/08/2014,16569.98
08/08/2014,16553.93
07/08/2014,16368.27
06/08/2014,16443.34
05/08/2014,16429.47
04/08/2014,16569.28
01/08/2014,16493.37
31/07/2014,16563.3
30/07/2014,16880.36
29/07/2014,16912.11
28/07/2014,16982.59
25/07/2014,16960.57
24/07/2014,17083.8
23/07/2014,17086.63
22/07/2014,17113.54
21/07/2014,17051.73
18/07/2014,17100.18
17/07/2014,16976.81
16/07/2014,17138.2
15/07/2014,17060.68
14/07/2014,17055.42
11/07/2014,16943.81
10/07/2014,16915.07
09/07/2014,16985.61
08/07/2014,16906.62
07/07/2014,17024.21
03/07/2014,17068.26
02/07/2014,16976.24
01/07/2014,16956.07
30/06/2014,16826.6
