ids,rooftop_ids,rooftop_region,area (m^2),effective area (m^2),rooftop_quality,rooftop_flatness,x coords,y coords,x mean,y mean,first energy generated (kWh),first year cost savings (£),first year co2 savings (kg),25 year energy savings (kWh),25 year savings (£),25 year co2 savings (kg),break even time (years),roi after 25 years (%)
88,52,1,74.6025,52.22175,Intermediate,Inclined,"[945, 931, 953, 960]","[868, 889, 888, 877]",947.25,880.5,16174.56803,3849.54719,4577.402751,359364.3536,105835.2309,101700.1121,5,467.4621138
89,53,1,337.12,404.544,Good,Inclined,"[928, 986, 981, 922]","[893, 921, 936, 905]",954.25,913.75,81704.4032,19445.64796,23122.34611,1815297.323,534617.3302,513729.1425,5,534.3347535
90,54,1,154.35,185.22,Good,Inclined,"[986, 991, 1021, 1021]","[937, 921, 938, 957]",1004.75,938.25,37408.266,8903.167308,10586.53928,831131.7687,244773.923,235210.2905,5,534.3347535
91,55,1,233.73,163.611,Intermediate,Inclined,"[959, 1005, 993, 952]","[974, 998, 1010, 991]",977.25,993.25,50675.0013,12060.65031,14341.02537,1125890.29,331582.2996,318626.9521,5,467.4621138
92,56,1,121.275,84.8925,Intermediate,Inclined,"[789, 744, 777]","[871, 881, 893]",770,881.6666667,26293.63275,6257.884595,7441.098068,584188.3581,172047.4196,165325.3053,5,467.4621138
93,56,2,248.43,173.901,Intermediate,Inclined,"[759, 734, 748, 773]","[893, 936, 945, 893]",753.5,916.75,53862.1083,12819.18178,15242.97665,1196701,352436.5323,338666.3831,5,467.4621138
94,57,1,358.19,250.733,Intermediate,Inclined,"[736, 708, 713, 751]","[944, 992, 1012, 952]",727,975,77659.1739,18482.88339,21977.54621,1725420.969,508148.1363,488294.1342,5,467.4621138
95,58,1,49,58.8,Good,Inclined,"[613, 616, 602, 596]","[965, 954, 946, 966]",606.75,957.75,11875.64,2826.40232,3360.80612,263851.3551,77706.0073,74669.93351,5,534.3347535
96,59,1,251.37,175.959,Intermediate,Inclined,"[474, 492, 531, 526]","[990, 981, 1000, 1017]",505.75,997,54499.5297,12970.88807,15423.36691,1210863.142,356607.3789,342674.2692,5,467.4621138
97,60,1,371.91,260.337,Intermediate,Inclined,"[494, 527, 540, 511]","[975, 909, 918, 971]",518,943.25,80633.8071,19190.84609,22819.36741,1791510.965,527612.0868,506997.603,5,467.4621138
98,61,1,152.88,107.016,Intermediate,Inclined,"[528, 544, 560, 544]","[906, 875, 882, 914]",544,894.25,33145.9128,7888.727246,9380.293322,736431.3847,216884.0199,208410.0819,5,467.4621138
99,62,1,151.9,182.28,Good,Inclined,"[555, 590, 585, 550]","[850, 866, 881, 864]",570,865.25,36814.484,8761.847192,10418.49897,817939.201,240888.6226,231476.7939,5,534.3347535
100,63,1,352.8,246.96,Intermediate,Inclined,"[561, 587, 606, 573]","[846, 784, 795, 848]",581.75,818.25,76490.568,18204.75518,21646.83074,1699457.042,500501.5844,480946.3428,5,467.4621138
101,64,1,149.94,104.958,Intermediate,Inclined,"[627, 634, 661, 655]","[818, 804, 823, 840]",644.25,821.25,32508.4914,7737.020953,9199.903066,722269.2427,212713.1734,204402.1957,5,467.4621138
102,65,1,70.07,49.049,Intermediate,Inclined,"[160, 170, 186, 177]","[1016, 1000, 1008, 1022]",173.25,1011.5,15191.8767,3615.666655,4299.301106,337531.0513,99405.17578,95521.28753,5,467.4621138
103,65,2,56.595,39.6165,Intermediate,Inclined,"[191, 196, 212, 205]","[968, 947, 955, 969]",201,959.75,12270.36195,2920.346144,3472.512432,272621.2338,80288.79582,77151.80916,5,467.4621138
104,65,3,89.3025,62.51175,Intermediate,Inclined,"[185, 197, 212, 201]","[997, 978, 987, 1005]",198.75,991.75,19361.67503,4608.078656,5479.354032,430175.0637,126689.4635,121739.543,5,467.4621138
105,66,1,110.1275,77.08925,Intermediate,Inclined,"[230, 215, 232, 244]","[923, 947, 954, 931]",230.25,938.75,23876.74328,5682.664899,6757.118347,530490.2363,156232.9598,150128.7369,5,467.4621138
106,66,2,33.6875,23.58125,Intermediate,Inclined,"[253, 228, 247]","[916, 919, 927]",242.6666667,920.6666667,7303.786875,1738.301276,2066.971686,162274.5439,47790.94989,45923.69593,6,467.4621138
107,67,1,109.8825,131.859,Good,Inclined,"[316, 336, 355, 342]","[998, 989, 999, 1012]",337.25,999.5,26631.1227,6338.207203,7536.607724,591686.6639,174255.7214,167447.3259,5,534.3347535
108,67,1,149.5725,104.70075,Intermediate,Inclined,"[391, 364, 354, 373]","[982, 987, 1007, 1015]",370.5,997.75,32428.81373,7718.057667,9177.354284,720498.975,212191.8175,203901.2099,5,467.4621138
109,68,1,176.89,123.823,Intermediate,Inclined,"[439, 455, 437, 417]","[969, 936, 931, 957]",437,948.25,38351.5209,9127.661974,10853.48041,852088.8779,250945.9333,241141.1524,5,467.4621138
110,69,1,248.43,298.116,Good,Inclined,"[317, 364, 365, 313]","[870, 893, 909, 883]",339.75,888.75,60209.4948,14329.85976,17039.28703,1337726.371,393969.457,378576.5629,5,534.3347535
111,70,1,45.815,54.978,Good,Inclined,"[371, 389, 386, 367]","[895, 907, 912, 903]",378.25,904.25,11103.7234,2642.686169,3142.353722,246701.0171,72655.11682,69816.38783,5,534.3347535
112,71,1,272.685,190.8795,Intermediate,Inclined,"[447, 469, 489, 464]","[905, 867, 877, 920]",467.25,892.25,59120.83485,14070.75869,16731.19626,1313538.672,386846.0162,371731.4441,5,467.4621138
113,72,1,55.125,66.15,Good,Inclined,"[241, 250, 266, 265]","[844, 840, 848, 858]",255.5,847.5,13360.095,3179.70261,3780.906885,296832.7745,87419.25821,84003.67519,5,534.3347535
