ids,rooftop_ids,rooftop_region,area (m^2),effective area (m^2),rooftop_quality,rooftop_flatness,x coords,y coords,x mean,y mean,first energy generated (kWh),first year cost savings (£),first year co2 savings (kg),25 year energy savings (kWh),25 year savings (£),25 year co2 savings (kg),break even time (years),roi after 25 years (%)
143,96,1,202.86,243.432,Good,Inclined,"[525, 530, 571, 568]","[429, 416, 435, 452]",548.5,433,49165.1496,11701.3056,13913.73734,1092344.61,321702.8702,309133.5247,5,534.3347535
144,96,2,196,137.2,Intermediate,Inclined,"[570, 582, 569, 564, 550, 552, 540, 532]","[431, 418, 415, 421, 415, 404, 399, 415]",557.375,414.75,42494.76,10113.75288,12026.01708,944142.8009,278056.4358,267192.4127,5,467.4621138
145,97,1,293.02,205.114,Intermediate,Inclined,"[571, 582, 593, 592, 602, 607, 623, 612]","[446, 422, 427, 434, 439, 437, 442, 468]",597.75,439.375,63529.6662,15120.06056,17978.89553,1411493.487,415694.3714,399452.6569,5,467.4621138
146,98,1,98,117.6,Good,Inclined,"[637, 661, 669]","[488, 478, 503]",655.6666667,489.6666667,23751.28,5652.80464,6721.61224,527702.7103,155412.0146,149339.867,5,534.3347535
147,98,2,637,445.9,Intermediate,Inclined,"[663, 670, 715, 699]","[476, 499, 410, 399]",686.75,446,138107.97,32869.69686,39084.55551,3068464.103,903683.4162,868375.3412,5,467.4621138
148,99,1,403.025,282.1175,Intermediate,Inclined,"[500, 469, 482, 516]","[336, 399, 406, 342]",491.75,370.75,87379.85025,20796.40436,24728.49762,1941393.634,571753.546,549414.3985,5,467.4621138
149,100,1,202.125,141.4875,Intermediate,Inclined,"[529, 511, 527, 544]","[276, 313, 326, 284]",527.75,299.75,43822.72125,10429.80766,12401.83011,973647.2635,286745.6994,275542.1756,5,467.4621138
150,101,1,341.775,239.2425,Intermediate,Inclined,"[532, 550, 577, 543]","[252, 219, 212, 274]",550.5,239.25,74100.23775,17635.85658,20970.36728,1646349.009,484860.9098,465916.7696,5,467.4621138
151,101,2,293.265,205.2855,Intermediate,Inclined,"[512, 527, 550, 542]","[258, 256, 218, 195]",532.75,231.75,63582.78465,15132.70275,17993.92806,1412673.666,416041.942,399786.6475,5,467.4621138
152,102,1,315.56,220.892,Intermediate,Inclined,"[586, 595, 642, 634]","[265, 242, 268, 288]",614.25,265.75,68416.5636,16283.14214,19361.8875,1520069.91,447670.8616,430179.7844,5,467.4621138
153,103,1,251.125,175.7875,Intermediate,Inclined,"[643, 649, 693, 689]","[291, 273, 295, 314]",668.5,293.25,54446.41125,12958.24588,15408.33438,1209682.964,356259.8083,342340.2787,5,467.4621138
154,104,1,176.4,123.48,Intermediate,Inclined,"[753, 727, 713, 736]","[311, 319, 337, 347]",732.25,328.5,38245.284,9102.377592,10823.41537,849728.5209,250250.7922,240473.1714,5,467.4621138
155,105,1,216.09,151.263,Intermediate,Inclined,"[712, 691, 706, 727]","[350, 387, 399, 354]",709,372.5,46850.4729,11150.41255,13258.68383,1040917.438,306557.2204,294579.635,5,467.4621138
